### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 62
### lambda (microns)   Flambda (Normalized)
       1.2315767      0.72940944
       1.2315942      0.72737212
       1.2316116      0.72154176
       1.2316291      0.72426623
       1.2316467      0.75540086
       1.2316642      0.73938611
       1.2316817      0.71405148
       1.2316992      0.71644280
       1.2317168      0.72165586
       1.2317342      0.72745404
       1.2317517      0.73756638
       1.2317691      0.73605421
       1.2317866      0.74152692
       1.2318042      0.74147206
       1.2318217      0.74238997
       1.2318392      0.73274755
       1.2318567      0.72946868
       1.2318743      0.72987314
       1.2318918      0.72625088
       1.2319092      0.72060520
       1.2319267      0.70862998
       1.2319442      0.70409529
       1.2319618      0.71522282
       1.2319793      0.71608112
       1.2319968      0.71561558
       1.2320143      0.71557975
       1.2320319      0.72919148
       1.2320494      0.73031308
       1.2320668      0.73299878
       1.2320843      0.74249237
       1.2321018      0.74346147
       1.2321193      0.75250524
       1.2321369      0.75352554
       1.2321544      0.73322186
       1.2321719      0.72596198
       1.2321894      0.71428553
       1.2322068      0.70703260
       1.2322244      0.69485331
       1.2322419      0.67424500
       1.2322594      0.66050747
       1.2322769      0.64831209
       1.2322945      0.65150576
       1.2323120      0.63747127
       1.2323295      0.63225712
       1.2323470      0.63665722
       1.2323644      0.64275893
       1.2323820      0.63768009
       1.2323995      0.65232419
       1.2324170      0.65212708
       1.2324345      0.66475764
       1.2324521      0.69091180
       1.2324696      0.70088554
       1.2324871      0.72054888
       1.2325046      0.72793347
       1.2325220      0.74081746
       1.2325396      0.71901587
       1.2325571      0.73446817
       1.2325746      0.75291848
       1.2325921      0.74601406
       1.2326097      0.74566664
       1.2326272      0.74305920
       1.2326447      0.73719702
       1.2326621      0.72892817
       1.2326796      0.71492807
       1.2326972      0.70504611
       1.2327147      0.70263176
       1.2327322      0.70379396
       1.2327497      0.70059554
       1.2327673      0.69209228
       1.2327848      0.69157225
       1.2328023      0.69458050
       1.2328197      0.69491439
       1.2328372      0.68766182
       1.2328548      0.69068396
       1.2328723      0.68712387
       1.2328898      0.69189589
       1.2329073      0.70008100
       1.2329248      0.70561734
       1.2329424      0.70646320
       1.2329598      0.70961042
       1.2329772      0.71017579
       1.2329947      0.70940782
       1.2330122      0.71139540
       1.2330298      0.71436928
       1.2330473      0.72248197
       1.2330648      0.70429899
       1.2330823      0.70489252
       1.2330999      0.72922622
       1.2331173      0.73699260
       1.2331348      0.74075163
       1.2331523      0.74294949
       1.2331698      0.73610358
       1.2331874      0.73831241
       1.2332049      0.74121973
       1.2332224      0.74492062
       1.2332399      0.73611821
       1.2332575      0.73136045
       1.2332749      0.71726709
       1.2332924      0.71177902
       1.2333099      0.71088927
       1.2333274      0.70035564
       1.2333450      0.69278930
       1.2333625      0.66796190
       1.2333800      0.64161356
       1.2333975      0.61519171
       1.2334151      0.59777670
       1.2334325      0.57855585
       1.2334500      0.56595418
       1.2334675      0.55072021
